FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_risk_score,country_avg_value,product_risk_score,conveyance_risk_score,value_per_line,log_msrp,log_lines,tariff_evasion_incentive,high_duty_product,complex_product,is_china,is_hong_kong,is_express,high_value_seizure
2023,Computer Software,Express Consignment,People's Republic of China,4,21739,0.0,High,85,472,14582791.302966101,34,1448,5434.75,9.9869091606752,1.6094379124341003,0.0,0,1,1,0,1,0
2023,Computer Software,Express Consignment,Unknown,2,24499,0.0,High,85,345,1934068.895652174,34,1448,12249.5,10.106428396532818,1.0986122886681098,0.0,0,1,0,0,1,0
2023,Computer Software,No Transportation Involved,People's Republic of China,3,212352,0.0,High,85,472,14582791.302966101,34,372,70784.0,12.26600526326112,1.3862943611198906,0.0,0,1,1,0,0,0
2023,Computer Software,No Transportation Involved,Unknown,1,15799,0.0,High,85,345,1934068.895652174,34,372,15799.0,9.667765219015058,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Computer/Computer Parts,Commercial Air,Hong Kong Special Administrative Region,1,7200,1.8,High,84,284,8244237.552816901,55,1047,7200.0,8.881975184248867,0.6931471805599453,129.6,0,1,0,1,0,0
2023,Computer/Computer Parts,Commercial Air,People's Republic of China,1,9804,1.8,High,84,472,14582791.302966101,55,1047,9804.0,9.190647738630446,0.6931471805599453,176.472,0,1,1,0,0,0
2023,Computer/Computer Parts,Commercial Vessel,Hong Kong Special Administrative Region,2,138410,1.8,High,84,284,8244237.552816901,55,300,69205.0,11.837982798776142,1.0986122886681098,1245.69,0,1,0,1,0,0
2023,Computer/Computer Parts,Commercial Vessel,People's Republic of China,15,348161,1.8,High,84,472,14582791.302966101,55,300,23210.733333333334,12.760423167678455,2.772588722239781,417.7932,0,1,1,0,0,1
2023,Computer/Computer Parts,Express Consignment,Hong Kong Special Administrative Region,9,64991,1.8,High,84,284,8244237.552816901,55,1448,7221.222222222223,11.082019464380112,2.302585092994046,129.982,0,1,0,1,1,0
2023,Computer/Computer Parts,Express Consignment,People's Republic of China,2,4485,1.8,High,84,472,14582791.302966101,55,1448,2242.5,8.408716715080153,1.0986122886681098,40.365,0,1,1,0,1,0
2023,Computer/Computer Parts,Express Consignment,Unknown,1,6495,1.8,High,84,345,1934068.895652174,55,1448,6495.0,8.778941881841513,0.6931471805599453,116.91,0,1,0,0,1,0
2023,Computer/Computer Parts,No Transportation Involved,People's Republic of China,6,144,1.8,High,84,472,14582791.302966101,55,372,24.0,4.976733742420574,1.9459101490553132,0.43200000000000005,0,1,1,0,0,0
2023,Computer/Computer Parts,No Transportation Involved,United States of America,15,18000,1.8,High,84,197,300035.71065989847,55,372,1200.0,9.798182590890704,2.772588722239781,21.6,0,1,0,0,0,0
2023,Drug,Commercial Air,Dominican Republic,10,50151,0.0,High,30,103,334914.5048543689,192,1047,5015.1,10.822813672953805,2.3978952727983707,0.0,0,1,0,0,0,0
2023,Drug,Commercial Air,Republic of Colombia,1,1,0.0,High,30,105,596276.8285714285,192,1047,1.0,0.6931471805599453,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Commercial Air,Republic of Liberia,1,60380,0.0,High,30,17,39341.58823529412,192,1047,60380.0,11.008429764899107,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Commercial Air,United Mexican States,1,30,0.0,High,30,170,261079.97647058824,192,1047,30.0,3.4339872044851463,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Commercial Vessel,Dominican Republic,3,121574,0.0,High,30,103,334914.5048543689,192,300,40524.666666666664,11.708286635271987,1.3862943611198906,0.0,0,1,0,0,0,0
2023,Drug,Commercial Vessel,Unknown,1,2576,0.0,High,30,345,1934068.895652174,192,300,2576.0,7.854381210652365,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Express Consignment,Hong Kong Special Administrative Region,10,482537,0.0,High,30,284,8244237.552816901,192,1448,48253.7,13.086814953136733,2.3978952727983707,0.0,0,1,0,1,1,1
2023,Drug,Express Consignment,Italian Republic,2,7500,0.0,High,30,60,34702.61666666667,192,1448,3750.0,8.922791623969637,1.0986122886681098,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,Land Curacao,1,2556000,0.0,High,30,3,1023196.6666666666,192,1448,2556000.0,14.753954485715793,0.6931471805599453,0.0,0,1,0,0,1,1
2023,Drug,Express Consignment,Malaysia,1,11696,0.0,High,30,96,637294.28125,192,1448,11696.0,9.367087677650707,0.6931471805599453,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,People's Republic of China,4,194348,0.0,High,30,472,14582791.302966101,192,1448,48587.0,12.177410790910816,1.6094379124341003,0.0,0,1,1,0,1,0
2023,Drug,Express Consignment,Republic of El Salvador,5,1909,0.0,High,30,12,48899.666666666664,192,1448,381.8,7.554858521040676,1.791759469228055,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,Republic of Guatemala,1,41,0.0,High,30,20,6345.6,192,1448,41.0,3.7376696182833684,0.6931471805599453,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,Republic of India,1,4260,0.0,High,30,86,2389196.6744186045,192,1448,4260.0,8.357259153499912,0.6931471805599453,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,Republic of Indonesia,1,7630,0.0,High,30,28,23067.821428571428,192,1448,7630.0,8.939974177289633,0.6931471805599453,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,Republic of Turkiye,18,66617,0.0,High,30,137,1184784.781021898,192,1448,3700.9444444444443,11.106730090282321,2.9444389791664403,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,United Arab Emirates,1,150,0.0,High,30,120,509279.625,192,1448,150.0,5.017279836814924,0.6931471805599453,0.0,0,1,0,0,1,0
2023,Drug,Express Consignment,United Kingdom of Great Britain and Northern Ireland,3,669530,0.0,High,30,86,127475.40697674418,192,1448,223176.66666666666,13.414332746252756,1.3862943611198906,0.0,0,1,0,0,1,1
2023,Drug,Express Consignment,Unknown,32,92353,0.0,High,30,345,1934068.895652174,192,1448,2886.03125,11.433384298170706,3.4965075614664802,0.0,0,1,0,0,1,0
2023,Drug,Mail,Dominican Republic,2,13632,0.0,High,30,103,334914.5048543689,192,945,6816.0,9.520248603186129,1.0986122886681098,0.0,0,1,0,0,0,0
2023,Drug,Mail,French Republic,7,341840,0.0,High,30,56,22283.285714285714,192,945,48834.28571428572,12.742100995658818,2.0794415416798357,0.0,0,1,0,0,0,1
2023,Drug,Mail,Italian Republic,1,400,0.0,High,30,60,34702.61666666667,192,945,400.0,5.993961427306569,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,Kingdom of Belgium,2,103600,0.0,High,30,8,15386.875,192,945,51800.0,11.548302261270587,1.0986122886681098,0.0,0,1,0,0,0,0
2023,Drug,Mail,Kingdom of Thailand,1,80,0.0,High,30,125,997476.0,192,945,80.0,4.394449154672439,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,Martinique,1,14800,0.0,High,30,2,44400.0,192,945,14800.0,9.60245002503719,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,People's Republic of China,6,173959,0.0,High,30,472,14582791.302966101,192,945,28993.166666666668,12.066580666711575,1.9459101490553132,0.0,0,1,1,0,0,0
2023,Drug,Mail,Portuguese Republic,1,7000,0.0,High,30,9,28467.0,192,945,7000.0,8.853808274977197,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,Republic of El Salvador,36,7187,0.0,High,30,12,48899.666666666664,192,945,199.63888888888889,8.88016824790345,3.6109179126442243,0.0,0,1,0,0,0,0
2023,Drug,Mail,Republic of Guatemala,1,1,0.0,High,30,20,6345.6,192,945,1.0,0.6931471805599453,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,Republic of India,2052,77792752,0.0,High,30,86,2389196.6744186045,192,945,37910.697855750484,18.169558835709715,7.627057417018934,0.0,0,1,0,0,0,1
